id,neighbourhood,district,property_type,room_type,accommodates,n_bathrooms,bedrooms,beds,price,wifi,kitchen,parking,balcony,bbq,washer,host_email,host_phone,host_work_email,longitude,latitude
12062058,Brunnenstr. Süd,Mitte,Private room in rental unit,Private room,1,0.0,1.0,1.0,48.0,0,1,0,1,0,1,1,1,1,13.39901,52.53558
18623451,Alt  Treptow,Treptow - Köpenick,Private room in rental unit,Private room,2,0.0,1.0,1.0,30.0,1,1,0,0,0,1,1,1,0,13.45177,52.49059
12067342,Helmholtzplatz,Pankow,Entire rental unit,Entire home/apt,5,2.0,4.0,5.0,130.0,1,1,0,0,0,1,1,1,0,13.41575,52.54361
21215223,Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,0.0,1.0,1.0,30.0,1,1,1,0,0,1,1,1,0,13.44799,52.52275
53523055,Brunnenstr. Süd,Mitte,Room in boutique hotel,Private room,2,1.0,1.0,1.0,142.0,0,0,1,0,0,0,1,1,0,13.40019,52.53047
6068682,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,1,1.0,1.0,1.0,24.0,1,1,0,0,0,1,1,1,0,13.41536,52.49034
21216350,Prenzlauer Berg Süd,Pankow,Private room in rental unit,Private room,2,1.0,1.0,1.0,43.0,1,1,0,0,0,1,1,1,1,13.42611,52.5413
18653503,Prenzlauer Berg Nord,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,60.0,0,1,0,0,0,0,1,1,0,13.43429,52.5443
51496360,Alexanderplatz,Mitte,Private room in hostel,Private room,2,1.0,1.0,1.0,183.0,1,1,1,0,0,1,1,1,0,13.40101,52.5291
12081622,Neu Lichtenberg,Lichtenberg,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,45.0,1,1,0,0,0,1,1,1,0,13.50786,52.50397
6067565,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Entire loft,Entire home/apt,2,1.0,2.0,2.0,70.0,1,1,1,1,0,1,1,1,0,13.40079,52.49139
12108774,Alexanderplatz,Mitte,Entire rental unit,Entire home/apt,1,1.0,1.0,2.0,33.0,1,1,1,0,0,1,1,1,0,13.40719,52.50988
6072438,Brunnenstr. Süd,Mitte,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,90.0,1,1,1,0,0,1,1,1,0,13.39545,52.53568
21220761,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,1,0.0,1.0,1.0,40.0,1,1,0,0,0,1,1,1,0,13.46468,52.50864
18664344,Reuterstraße,Neukölln,Private room in rental unit,Private room,2,2.0,1.0,1.0,40.0,1,1,0,0,0,1,1,1,0,13.434,52.4844
6095618,Regierungsviertel,Mitte,Private room in loft,Private room,2,2.0,1.0,1.0,34.0,1,1,0,0,0,1,1,1,0,13.39442,52.51175
6097773,Kurfürstendamm,Charlottenburg-Wilm.,Private room in rental unit,Private room,1,1.0,1.0,1.0,55.0,1,1,0,0,0,1,1,1,0,13.31878,52.50218
12116839,Pankow Süd,Pankow,Private room in rental unit,Private room,1,0.0,1.0,1.0,29.0,1,1,0,0,0,1,1,1,0,13.4162,52.56123
18672607,Brunnenstr. Nord,Mitte,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,45.0,1,1,0,0,0,0,1,1,0,13.37019,52.54207
12134770,Reuterstraße,Neukölln,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,70.0,1,1,0,0,0,1,0,1,0,13.4252,52.49335
18676113,Neue Kantstraße,Charlottenburg-Wilm.,Private room in rental unit,Private room,1,0.0,1.0,1.0,42.0,1,1,0,0,0,1,1,1,0,13.29509,52.50462
12159764,Helmholtzplatz,Pankow,Private room in rental unit,Private room,1,1.0,1.0,1.0,46.0,1,1,1,1,1,1,0,1,0,13.42379,52.54326
12162674,Neuköllner Mitte/Zentrum,Neukölln,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,50.0,1,1,1,0,0,1,1,1,0,13.43121,52.47135
12179772,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,0.0,1.0,1.0,50.0,0,1,0,0,0,1,1,1,0,13.42087,52.49112
21249036,Rixdorf,Neukölln,Private room in rental unit,Private room,2,0.0,1.0,1.0,35.0,1,1,0,0,0,1,1,1,0,13.43939,52.47824
6160249,Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,85.0,1,1,1,1,0,1,1,1,0,13.44358,52.52924
18696453,Parkviertel,Mitte,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,40.0,1,1,0,0,0,1,1,1,0,13.33682,52.5525
18671787,Pankow Zentrum,Pankow,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,160.0,1,1,1,1,0,0,1,1,0,13.40393,52.57471
12194943,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,60.0,1,1,0,1,0,1,1,1,0,13.42219,52.49199
6120380,Wedding Zentrum,Mitte,Private room in rental unit,Private room,3,0.0,1.0,1.0,28.0,1,1,1,0,0,0,1,1,0,13.37519,52.55571
53522583,Brunnenstr. Süd,Mitte,Room in boutique hotel,Private room,2,1.0,1.0,1.0,161.0,1,0,1,0,0,0,1,1,0,13.40221,52.53038
6174866,Neuköllner Mitte/Zentrum,Neukölln,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,1,1,0,0,0,1,1,1,0,13.43178,52.46834
12193726,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,45.0,1,1,0,0,0,1,1,1,0,13.40363,52.49082
12216733,südliche Luisenstadt,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,39.0,0,1,0,0,0,1,1,1,0,13.43736,52.49246
53522950,Brunnenstr. Süd,Mitte,Room in boutique hotel,Private room,2,1.0,1.0,1.0,171.0,0,0,1,0,0,0,1,1,0,13.40029,52.52979
